,OTU_name,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_1104,OTU_1104,Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,Candidatus Entotheonella,NA
OTU_1105,OTU_1105,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU_1106,OTU_1106,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA,NA
OTU_1108,OTU_1108,Bacteria,Actinomycetota,Acidimicrobiia,Microtrichales,Iamiaceae,Aquihabitans,NA
OTU_1110,OTU_1110,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_1111,OTU_1111,Bacteria,Chloroflexota,TK10,NA,NA,NA,NA
OTU_1112,OTU_1112,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,NA
OTU_1115,OTU_1115,Bacteria,Actinomycetota,MB-A2-108,NA,NA,NA,NA
OTU_1116,OTU_1116,Bacteria,Acidobacteriota,Blastocatellia,??.24,NA,NA,NA
OTU_1118,OTU_1118,Bacteria,Actinomycetota,Thermoleophilia,NA,NA,NA,NA
OTU_1119,OTU_1119,Bacteria,Pseudomonadota,Alphaproteobacteria,Tistrellales,Geminicoccaceae,NA,NA
OTU_1122,OTU_1122,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU_1125,OTU_1125,Bacteria,Actinomycetota,MB-A2-108,NA,NA,NA,NA
OTU_1128,OTU_1128,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
OTU_1129,OTU_1129,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Pedosphaerales,Pedosphaeraceae,NA,NA
OTU_1130,OTU_1130,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,NA
OTU_1131,OTU_1131,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,sepulcri
OTU_1133,OTU_1133,Bacteria,Acidobacteriota,Acidobacteriae,Terriglobales,NA,NA,NA
OTU_1134,OTU_1134,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
OTU_1135,OTU_1135,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Psychroglaciecola,NA
OTU_1136,OTU_1136,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_1138,OTU_1138,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Luteimonas,NA
OTU_1139,OTU_1139,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_1140,OTU_1140,Bacteria,Actinomycetota,MB-A2-108,NA,NA,NA,NA
OTU_1141,OTU_1141,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA,NA
OTU_1142,OTU_1142,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,NA
OTU_1143,OTU_1143,Bacteria,Planctomycetota,OM190,NA,NA,NA,NA
OTU_1144,OTU_1144,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,NA
OTU_1146,OTU_1146,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidiferrimicrobium,NA
OTU_1147,OTU_1147,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,NA
OTU_1148,OTU_1148,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_1150,OTU_1150,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
OTU_1151,OTU_1151,Bacteria,Chloroflexota,Anaerolineae,Caldilineales,Caldilineaceae,NA,NA
OTU_1152,OTU_1152,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Caldovatus,NA
OTU_1154,OTU_1154,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiales Incertae Sedis,Bauldia,NA
OTU_1155,OTU_1155,Bacteria,Actinomycetota,Actinobacteria,Kitasatosporales,Streptomycetaceae,Streptomyces,turgidiscabies
OTU_1156,OTU_1156,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Actinopolymorpha,NA
OTU_1157,OTU_1157,Bacteria,Chloroflexota,TK10,NA,NA,NA,NA
OTU_1159,OTU_1159,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,NA,NA,NA
OTU_1162,OTU_1162,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,NA
OTU_1163,OTU_1163,Bacteria,Actinomycetota,Thermoleophilia,Gaiellales,NA,NA,NA
OTU_1164,OTU_1164,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
OTU_1165,OTU_1165,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Pedomicrobium,NA
OTU_1167,OTU_1167,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella,NA
OTU_1168,OTU_1168,Bacteria,Actinomycetota,Actinobacteria,0319-7L14,NA,NA,NA
OTU_1169,OTU_1169,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_1170,OTU_1170,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,NA,NA
OTU_1171,OTU_1171,Bacteria,Acidobacteriota,Subgroup 18,NA,NA,NA,NA
OTU_1172,OTU_1172,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,NA
OTU_1173,OTU_1173,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
OTU_1174,OTU_1174,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Hyphomicrobium,NA
OTU_1175,OTU_1175,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,NA
OTU_1176,OTU_1176,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,NA,NA
OTU_1177,OTU_1177,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,NA
OTU_1178,OTU_1178,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,NA
OTU_1179,OTU_1179,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,NA
OTU_1180,OTU_1180,Bacteria,Myxococcota,Polyangiia,Polyangiales,Sandaracinaceae,NA,NA
OTU_1181,OTU_1181,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,NA
OTU_1182,OTU_1182,Bacteria,Actinomycetota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,NA
OTU_1185,OTU_1185,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,NA
OTU_1187,OTU_1187,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,NA
OTU_1188,OTU_1188,Bacteria,Actinomycetota,Actinobacteria,Kitasatosporales,Streptomycetaceae,Streptomyces,NA
OTU_1189,OTU_1189,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,NA
OTU_1191,OTU_1191,Bacteria,Actinomycetota,Acidimicrobiia,Microtrichales,Iamiaceae,Iamia,NA
OTU_1192,OTU_1192,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_1193,OTU_1193,Bacteria,Myxococcota,Polyangiia,Haliangiales,Haliangiaceae,NA,NA
OTU_1194,OTU_1194,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,NA
OTU_1195,OTU_1195,Bacteria,Myxococcota,Polyangiia,Polyangiales,Polyangiaceae,NA,NA
OTU_1196,OTU_1196,Bacteria,Pseudomonadota,Alphaproteobacteria,Elsterales,NA,NA,NA
OTU_1197,OTU_1197,Bacteria,Latescibacterota,NA,NA,NA,NA,NA
OTU_1198,OTU_1198,Bacteria,Myxococcota,Polyangiia,Polyangiales,Polyangiaceae,Pajaroellobacter,NA
OTU_1199,OTU_1199,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,AKYG1722,NA,NA
OTU_1200,OTU_1200,Bacteria,Actinomycetota,Thermoleophilia,NA,NA,NA,NA
OTU_1201,OTU_1201,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Singulisphaera,NA
OTU_1202,OTU_1202,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,NA,NA,NA
OTU_1203,OTU_1203,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,NA
OTU_1207,OTU_1207,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Hyphomicrobium,NA
OTU_1208,OTU_1208,Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,NA
OTU_1209,OTU_1209,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,NA
OTU_1210,OTU_1210,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
OTU_1211,OTU_1211,Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,NA,NA
OTU_1212,OTU_1212,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Amb-16S-1323,NA,NA
OTU_1213,OTU_1213,Bacteria,Chloroflexota,P2-11E,NA,NA,NA,NA
OTU_1214,OTU_1214,Bacteria,Chloroflexota,Chloroflexia,Chloroflexales,Roseiflexaceae,NA,NA
OTU_1217,OTU_1217,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,NA
OTU_1219,OTU_1219,Bacteria,Chloroflexota,KD4-96,NA,NA,NA,NA
OTU_1220,OTU_1220,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_1221,OTU_1221,Bacteria,Bacillota,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,NA
OTU_1222,OTU_1222,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
OTU_1223,OTU_1223,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,NA
OTU_1224,OTU_1224,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,NA
OTU_1225,OTU_1225,Bacteria,Chloroflexota,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA,NA
OTU_1226,OTU_1226,Bacteria,Actinomycetota,Actinobacteria,Kitasatosporales,Streptomycetaceae,Streptomyces,NA
OTU_1227,OTU_1227,Bacteria,Myxococcota,Polyangiia,Haliangiales,Haliangiaceae,NA,NA
OTU_1228,OTU_1228,Bacteria,Actinomycetota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola,NA
OTU_1229,OTU_1229,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_1230,OTU_1230,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
OTU_1232,OTU_1232,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,NA
OTU_1235,OTU_1235,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Lysobacter,NA
OTU_1236,OTU_1236,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,NA
OTU_1237,OTU_1237,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU_1238,OTU_1238,Bacteria,NA,NA,NA,NA,NA,NA
OTU_1239,OTU_1239,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
OTU_1242,OTU_1242,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_1243,OTU_1243,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Opitutales,Opitutaceae,Opitutus,NA
OTU_1244,OTU_1244,Bacteria,Actinomycetota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,NA
OTU_1245,OTU_1245,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
OTU_1246,OTU_1246,Bacteria,Actinomycetota,NA,NA,NA,NA,NA
OTU_1248,OTU_1248,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA
OTU_1250,OTU_1250,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_1252,OTU_1252,Bacteria,Actinomycetota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29 marine group,NA
OTU_1254,OTU_1254,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Microlunatus,NA
OTU_1255,OTU_1255,Bacteria,Actinomycetota,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella,NA
OTU_1257,OTU_1257,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,NA,NA
OTU_1258,OTU_1258,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Myxococcus,NA
OTU_1260,OTU_1260,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
OTU_1261,OTU_1261,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Kribbella,NA
OTU_1262,OTU_1262,Bacteria,Chloroflexota,Anaerolineae,Ardenticatenales,NA,NA,NA
OTU_1265,OTU_1265,Bacteria,Actinomycetota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA,NA
OTU_1269,OTU_1269,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA,NA
OTU_1270,OTU_1270,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Aridibacter,NA
OTU_1271,OTU_1271,Bacteria,Actinomycetota,Acidimicrobiia,Microtrichales,NA,NA,NA
OTU_1272,OTU_1272,Bacteria,Chloroflexota,JG30-KF-CM66,NA,NA,NA,NA
OTU_1274,OTU_1274,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,NA
OTU_1275,OTU_1275,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU_1276,OTU_1276,Bacteria,Actinomycetota,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,coriariae
OTU_1277,OTU_1277,Bacteria,Myxococcota,Polyangiia,Polyangiales,Sandaracinaceae,NA,NA
OTU_1279,OTU_1279,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,NA
OTU_1280,OTU_1280,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,NA
OTU_1282,OTU_1282,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,NA,NA
OTU_1283,OTU_1283,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
OTU_1285,OTU_1285,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA
OTU_1286,OTU_1286,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,NA,NA
OTU_1288,OTU_1288,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
OTU_1289,OTU_1289,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,NA
OTU_1290,OTU_1290,Bacteria,Myxococcota,Polyangiia,Haliangiales,Haliangiaceae,NA,NA
OTU_1291,OTU_1291,Bacteria,Chloroflexota,KD4-96,NA,NA,NA,NA
OTU_1293,OTU_1293,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Niallia,NA
OTU_1295,OTU_1295,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,NA,NA
OTU_1296,OTU_1296,Bacteria,Actinomycetota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,NA
OTU_1300,OTU_1300,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,Arenimicrobium,NA
OTU_1301,OTU_1301,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
OTU_1302,OTU_1302,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,NA
OTU_1304,OTU_1304,Bacteria,Myxococcota,bacteriap25,NA,NA,NA,NA
OTU_1305,OTU_1305,Bacteria,Acidobacteriota,Acidobacteriae,Terriglobales,Acidobacteriaceae (Subgroup 1),Granulicella,NA
OTU_1307,OTU_1307,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_1309,OTU_1309,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Parafilimonas,NA
OTU_1313,OTU_1313,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU_1314,OTU_1314,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Rhodoplanes,NA
OTU_1315,OTU_1315,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Beijerinckiaceae,Microvirga,NA
OTU_1316,OTU_1316,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU_1317,OTU_1317,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
OTU_1318,OTU_1318,Bacteria,Chloroflexota,Dehalococcoidia,S085,NA,NA,NA
OTU_1319,OTU_1319,Bacteria,Acidobacteriota,Holophagae,Subgroup 7,NA,NA,NA
OTU_1320,OTU_1320,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,NA
OTU_1321,OTU_1321,Bacteria,Actinomycetota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,NA
OTU_1322,OTU_1322,Bacteria,Acidobacteriota,Holophagae,Subgroup 7,NA,NA,NA
OTU_1323,OTU_1323,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,NA
OTU_1324,OTU_1324,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavisolibacter,NA
OTU_1326,OTU_1326,Bacteria,Chloroflexota,JG30-KF-CM66,NA,NA,NA,NA
OTU_1327,OTU_1327,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
OTU_1328,OTU_1328,Bacteria,Actinomycetota,Thermoleophilia,Solirubrobacterales,67-14,NA,NA
OTU_1329,OTU_1329,Bacteria,Verrucomicrobiota,Verrucomicrobiia,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,NA
OTU_1330,OTU_1330,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
OTU_1334,OTU_1334,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,NA
OTU_1335,OTU_1335,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,NA
OTU_1336,OTU_1336,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,NA,NA
OTU_1337,OTU_1337,Bacteria,Acidobacteriota,Acidobacteriae,Terriglobales,Acidobacteriaceae (Subgroup 1),Terracidiphilus,NA
OTU_1339,OTU_1339,Bacteria,GAL15,NA,NA,NA,NA,NA
OTU_1340,OTU_1340,Bacteria,Actinomycetota,MB-A2-108,NA,NA,NA,NA
OTU_1341,OTU_1341,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,NA,NA
OTU_1342,OTU_1342,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
OTU_1343,OTU_1343,Bacteria,Myxococcota,bacteriap25,NA,NA,NA,NA
OTU_1344,OTU_1344,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA
OTU_1345,OTU_1345,Bacteria,Actinomycetota,MB-A2-108,NA,NA,NA,NA
OTU_1346,OTU_1346,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,Arenimicrobium,NA
OTU_1347,OTU_1347,Bacteria,Actinomycetota,Actinobacteria,Kitasatosporales,Streptomycetaceae,Streptomyces,NA
OTU_1349,OTU_1349,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,NA,NA
OTU_1350,OTU_1350,Bacteria,Pseudomonadota,Alphaproteobacteria,Elsterales,NA,NA,NA
OTU_1351,OTU_1351,Bacteria,Actinomycetota,Actinobacteria,Glycomycetales,Glycomycetaceae,Glycomyces,NA
OTU_1352,OTU_1352,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiales Incertae Sedis,Nordella,NA
OTU_1353,OTU_1353,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,NA,NA,NA
OTU_1355,OTU_1355,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
OTU_1356,OTU_1356,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter,NA
OTU_1357,OTU_1357,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
OTU_1358,OTU_1358,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Luteibacter,jiangsuensis
OTU_1360,OTU_1360,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,Devosia,NA
OTU_1361,OTU_1361,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,NA
OTU_1362,OTU_1362,Bacteria,Myxococcota,Polyangiia,Haliangiales,Haliangiaceae,NA,NA
OTU_1366,OTU_1366,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,NA
OTU_1367,OTU_1367,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,NA
OTU_1368,OTU_1368,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Solibacillus,NA
OTU_1370,OTU_1370,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,NA
OTU_1371,OTU_1371,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Caldovatus,NA
OTU_1374,OTU_1374,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Mariniblastus,NA
OTU_1375,OTU_1375,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
OTU_1377,OTU_1377,Bacteria,Actinomycetota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA,NA
OTU_1378,OTU_1378,Bacteria,Myxococcota,Polyangiia,Haliangiales,Haliangiaceae,NA,NA
OTU_1379,OTU_1379,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
OTU_1380,OTU_1380,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Singulisphaera,NA
OTU_1381,OTU_1381,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,TRA3-20,NA,NA
OTU_1382,OTU_1382,Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,NA,NA
OTU_1384,OTU_1384,Bacteria,Actinomycetota,MB-A2-108,NA,NA,NA,NA
OTU_1385,OTU_1385,Bacteria,Myxococcota,Polyangiia,Polyangiales,Polyangiaceae,Pajaroellobacter,NA
OTU_1387,OTU_1387,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
OTU_1392,OTU_1392,Bacteria,Actinomycetota,MB-A2-108,NA,NA,NA,NA
OTU_1394,OTU_1394,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,NA,NA
OTU_1399,OTU_1399,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
OTU_1400,OTU_1400,Bacteria,Acidobacteriota,Blastocatellia,??.24,NA,NA,NA
OTU_1401,OTU_1401,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Mycobacteriaceae,Mycobacterium,NA
OTU_1402,OTU_1402,Bacteria,Chloroflexota,KD4-96,NA,NA,NA,NA
OTU_1404,OTU_1404,Bacteria,Actinomycetota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,NA
OTU_1407,OTU_1407,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,NA
OTU_1408,OTU_1408,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata,NA
OTU_1409,OTU_1409,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,Brevitalea,NA
OTU_1411,OTU_1411,Bacteria,Myxococcota,Polyangiia,Haliangiales,Haliangiaceae,NA,NA
OTU_1414,OTU_1414,Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,Candidatus Entotheonella,NA
OTU_1415,OTU_1415,Bacteria,Gemmatimonadota,S0134 terrestrial group,NA,NA,NA,NA
OTU_1416,OTU_1416,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,NA
OTU_1417,OTU_1417,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,NA,NA
OTU_1419,OTU_1419,Bacteria,Pseudomonadota,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,NA
OTU_1421,OTU_1421,Bacteria,Gemmatimonadota,Gemmatimonadia,Gemmatimonadales,Gemmatimonadaceae,NA,NA
OTU_1422,OTU_1422,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Rhodanobacter,NA
OTU_1424,OTU_1424,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,NA,NA
OTU_1427,OTU_1427,Bacteria,Actinomycetota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,NA
